environment | time (s),RAF | RAF_star (nm)
1649,0.00247392
1650,0.00247389
1651,0.00247386
1652,0.00247383
1653,0.00247379
1654,0.00247376
1655,0.00247373
1656,0.00247371
1657,0.00247368
1658,0.00247365
1659,0.00247363
1660,0.0024736
1661,0.00247358
1662,0.00247355
1663,0.00247353
1664,0.00247351
1665,0.00247349
1666,0.00247347
1667,0.00247345
1668,0.00247343
1669,0.00247341
1670,0.00247339
1671,0.00247337
1672,0.00247336
1673,0.00247334
1674,0.00247333
1675,0.00247331
1676,0.0024733
1677,0.00247329
1678,0.00247328
1679,0.00247327
1680,0.00247326
1681,0.00247325
1682,0.00247324
1683,0.00247323
1684,0.00247322
1685,0.00247322
1686,0.00247321
1687,0.0024732
1688,0.0024732
1689,0.0024732
1690,0.00247319
1691,0.00247319
1692,0.00247319
1693,0.00247319
1694,0.00247318
1695,0.00247318
1696,0.00247318
1697,0.00247319
1698,0.00247319
1699,0.00247319
1700,0.00247319
1701,0.0024732
1702,0.0024732
1703,0.0024732
1704,0.00247321
1705,0.00247322
1706,0.00247322
1707,0.00247323
1708,0.00247324
1709,0.00247324
1710,0.00247325
1711,0.00247326
1712,0.00247327
1713,0.00247328
1714,0.00247329
