environment | time (s),PI3K | RP_percent (dimensionless)
942,28.2902
943,28.2769
944,28.2637
945,28.2505
946,28.2373
947,28.2241
948,28.2109
949,28.1977
950,28.1845
951,28.1714
952,28.1582
953,28.1451
954,28.1319
955,28.1188
956,28.1056
957,28.0925
958,28.0794
959,28.0663
960,28.0532
961,28.0401
962,28.027
963,28.0139
964,28.0009
965,27.9878
966,27.9747
967,27.9617
968,27.9487
969,27.9356
970,27.9226
971,27.9096
972,27.8966
973,27.8836
974,27.8706
975,27.8576
976,27.8446
977,27.8316
978,27.8187
979,27.8057
980,27.7927
981,27.7798
982,27.7669
983,27.7539
984,27.741
985,27.7281
986,27.7152
987,27.7023
988,27.6894
989,27.6765
990,27.6636
991,27.6508
992,27.6379
993,27.6251
994,27.6122
995,27.5994
996,27.5865
997,27.5737
998,27.5609
999,27.5481
1000,27.5353
1001,27.5225
1002,27.5097
1003,27.4969
1004,27.4841
1005,27.4714
1006,27.4586
1007,27.4459
1008,27.4331
1009,27.4204
1010,27.4077
1011,27.3949
1012,27.3822
1013,27.3695
1014,27.3568
1015,27.3441
1016,27.3314
1017,27.3188
1018,27.3061
1019,27.2934
1020,27.2808
1021,27.2681
1022,27.2555
1023,27.2428
1024,27.2302
1025,27.2176
1026,27.205
1027,27.1924
1028,27.1798
1029,27.1672
1030,27.1546
1031,27.142
1032,27.1294
1033,27.1169
1034,27.1043
1035,27.0918
1036,27.0792
1037,27.0667
1038,27.0542
1039,27.0416
1040,27.0291
1041,27.0166
1042,27.0041
1043,26.9916
1044,26.9791
1045,26.9667
1046,26.9542
1047,26.9417
1048,26.9293
1049,26.9168
1050,26.9044
1051,26.8919
1052,26.8795
1053,26.8671
1054,26.8547
1055,26.8423
1056,26.8299
1057,26.8175
1058,26.8051
1059,26.7927
1060,26.7803
1061,26.768
1062,26.7556
1063,26.7433
1064,26.7309
1065,26.7186
1066,26.7062
1067,26.6939
1068,26.6816
1069,26.6693
1070,26.657
1071,26.6447
1072,26.6324
1073,26.6201
1074,26.6079
1075,26.5956
1076,26.5833
1077,26.5711
1078,26.5588
1079,26.5466
1080,26.5344
1081,26.5221
1082,26.5099
1083,26.4977
1084,26.4855
1085,26.4733
1086,26.4611
1087,26.4489
1088,26.4367
1089,26.4246
1090,26.4124
1091,26.4003
1092,26.3881
1093,26.376
1094,26.3638
1095,26.3517
1096,26.3396
1097,26.3275
1098,26.3153
1099,26.3032
1100,26.2911
1101,26.2791
1102,26.267
1103,26.2549
1104,26.2428
1105,26.2308
1106,26.2187
1107,26.2067
1108,26.1946
1109,26.1826
1110,26.1706
1111,26.1586
1112,26.1465
1113,26.1345
1114,26.1225
1115,26.1105
1116,26.0986
1117,26.0866
1118,26.0746
1119,26.0626
1120,26.0507
1121,26.0387
1122,26.0268
1123,26.0148
1124,26.0029
1125,25.991
1126,25.9791
1127,25.9671
1128,25.9552
1129,25.9433
1130,25.9315
1131,25.9196
1132,25.9077
1133,25.8958
1134,25.8839
1135,25.8721
1136,25.8602
1137,25.8484
1138,25.8366
1139,25.8247
1140,25.8129
1141,25.8011
1142,25.7893
1143,25.7775
1144,25.7657
1145,25.7539
1146,25.7421
1147,25.7303
1148,25.7185
1149,25.7068
1150,25.695
1151,25.6833
1152,25.6715
1153,25.6598
1154,25.648
1155,25.6363
1156,25.6246
1157,25.6129
1158,25.6012
1159,25.5895
1160,25.5778
1161,25.5661
1162,25.5544
1163,25.5427
1164,25.5311
1165,25.5194
1166,25.5077
1167,25.4961
1168,25.4845
1169,25.4728
1170,25.4612
1171,25.4496
1172,25.438
1173,25.4264
1174,25.4147
1175,25.4032
1176,25.3916
1177,25.38
1178,25.3684
1179,25.3568
1180,25.3453
1181,25.3337
1182,25.3222
1183,25.3106
1184,25.2991
1185,25.2876
1186,25.276
1187,25.2645
1188,25.253
1189,25.2415
1190,25.23
1191,25.2185
1192,25.207
1193,25.1955
1194,25.1841
1195,25.1726
1196,25.1611
1197,25.1497
1198,25.1382
1199,25.1268
1200,25.1154
1201,25.1039
1202,25.0925
1203,25.0811
1204,25.0697
1205,25.0583
1206,25.0469
1207,25.0355
1208,25.0241
1209,25.0127
1210,25.0014
1211,24.99
1212,24.9786
1213,24.9673
1214,24.9559
1215,24.9446
1216,24.9333
1217,24.9219
1218,24.9106
1219,24.8993
1220,24.888
1221,24.8767
1222,24.8654
1223,24.8541
1224,24.8428
1225,24.8315
1226,24.8203
1227,24.809
1228,24.7977
1229,24.7865
1230,24.7752
1231,24.764
1232,24.7528
1233,24.7415
1234,24.7303
1235,24.7191
1236,24.7079
1237,24.6967
1238,24.6855
1239,24.6743
1240,24.6631
1241,24.6519
1242,24.6408
1243,24.6296
1244,24.6185
1245,24.6073
1246,24.5962
1247,24.585
1248,24.5739
1249,24.5627
1250,24.5516
1251,24.5405
1252,24.5294
1253,24.5183
1254,24.5072
1255,24.4961
1256,24.485
1257,24.4739
1258,24.4629
1259,24.4518
1260,24.4407
1261,24.4297
1262,24.4186
1263,24.4076
1264,24.3966
1265,24.3855
1266,24.3745
1267,24.3635
1268,24.3525
1269,24.3415
1270,24.3305
1271,24.3195
1272,24.3085
1273,24.2975
1274,24.2865
1275,24.2756
1276,24.2646
1277,24.2536
1278,24.2427
1279,24.2318
1280,24.2208
1281,24.2099
1282,24.199
1283,24.188
1284,24.1771
1285,24.1662
1286,24.1553
1287,24.1444
1288,24.1335
1289,24.1226
1290,24.1118
1291,24.1009
1292,24.09
1293,24.0792
1294,24.0683
1295,24.0574
1296,24.0466
1297,24.0358
1298,24.0249
1299,24.0141
1300,24.0033
1301,23.9925
1302,23.9817
1303,23.9709
1304,23.9601
1305,23.9493
1306,23.9385
1307,23.9277
1308,23.9169
1309,23.9062
1310,23.8954
1311,23.8847
1312,23.8739
1313,23.8632
1314,23.8524
1315,23.8417
1316,23.831
1317,23.8203
1318,23.8096
1319,23.7988
1320,23.7881
1321,23.7775
1322,23.7668
1323,23.7561
1324,23.7454
1325,23.7347
1326,23.7241
1327,23.7134
1328,23.7027
1329,23.6921
1330,23.6815
1331,23.6708
1332,23.6602
1333,23.6496
1334,23.6389
1335,23.6283
1336,23.6177
1337,23.6071
1338,23.5965
1339,23.5859
1340,23.5754
1341,23.5648
1342,23.5542
1343,23.5436
1344,23.5331
1345,23.5225
1346,23.512
1347,23.5014
1348,23.4909
1349,23.4804
1350,23.4698
1351,23.4593
1352,23.4488
1353,23.4383
1354,23.4278
1355,23.4173
1356,23.4068
1357,23.3963
1358,23.3858
1359,23.3753
1360,23.3649
1361,23.3544
1362,23.3439
1363,23.3335
1364,23.323
1365,23.3126
1366,23.3022
1367,23.2917
1368,23.2813
1369,23.2709
1370,23.2605
1371,23.2501
1372,23.2397
1373,23.2293
1374,23.2189
1375,23.2085
1376,23.1981
1377,23.1878
1378,23.1774
1379,23.167
1380,23.1567
1381,23.1463
1382,23.136
1383,23.1256
1384,23.1153
1385,23.105
1386,23.0947
1387,23.0843
1388,23.074
1389,23.0637
1390,23.0534
1391,23.0431
1392,23.0328
1393,23.0226
1394,23.0123
1395,23.002
1396,22.9917
1397,22.9815
1398,22.9712
1399,22.961
1400,22.9507
1401,22.9405
1402,22.9303
1403,22.92
1404,22.9098
1405,22.8996
1406,22.8894
1407,22.8792
1408,22.869
1409,22.8588
1410,22.8486
1411,22.8384
1412,22.8282
1413,22.8181
1414,22.8079
1415,22.7977
1416,22.7876
1417,22.7774
1418,22.7673
1419,22.7571
1420,22.747
1421,22.7369
1422,22.7268
1423,22.7166
1424,22.7065
1425,22.6964
1426,22.6863
1427,22.6762
1428,22.6661
1429,22.6561
1430,22.646
1431,22.6359
1432,22.6258
1433,22.6158
1434,22.6057
1435,22.5957
1436,22.5856
1437,22.5756
1438,22.5655
1439,22.5555
1440,22.5455
1441,22.5355
1442,22.5255
1443,22.5154
1444,22.5054
1445,22.4954
1446,22.4855
1447,22.4755
1448,22.4655
1449,22.4555
1450,22.4455
1451,22.4356
1452,22.4256
1453,22.4157
1454,22.4057
1455,22.3958
1456,22.3858
1457,22.3759
1458,22.366
1459,22.356
1460,22.3461
1461,22.3362
1462,22.3263
1463,22.3164
1464,22.3065
1465,22.2966
1466,22.2867
1467,22.2769
1468,22.267
1469,22.2571
1470,22.2472
1471,22.2374
1472,22.2275
1473,22.2177
1474,22.2078
1475,22.198
1476,22.1882
1477,22.1784
1478,22.1685
1479,22.1587
1480,22.1489
1481,22.1391
1482,22.1293
1483,22.1195
1484,22.1097
1485,22.0999
1486,22.0901
1487,22.0804
